"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"California Institute of Technology","1200 E California Blvd, Pasadena, California 91125","www.caltech.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Midsize","Yes","2401","982","94%","3%","Fall 2016","$20,755","-","110404","00113100"
"California Institute of the Arts","24700 W McBean Pky, Valencia, California 91355-2397","https://www.calarts.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","Yes","1440","940","64%","19%","Fall 2016","$55,225","-","111081","00113200"
"California Miramar University","3550 Camino Del Rio North, Suite 208, San Diego, California 92108-1739","www.calmu.edu/","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Large","No","216","99","30%","10%","Fall 2016","$10,207","-","480781","04189700"
"Claremont McKenna College","500 E 9th St, Claremont, California 91711-6400","www.cmc.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Suburb: Large","Yes","1389","1386","91%","NA","Fall 2016","$28,701","-","112260","00117000"
"Harvey Mudd College","301 Platt Blvd., Claremont, California 91711","https://www.hmc.edu/","4-year, Private not-for-profit","Bachelor's degree","Suburb: Large","Yes","922","922","92%","6%","Fall 2016","$39,850","-","115409","00117100"
"Minerva University","16 Turk Street, San Francisco, California 94102","https://minerva.edu/","4-year, Private not-for-profit","One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree","City: Large","Yes","660","613","83%","NA","Fall 2016","$15,215","-","484844",""
"Pitzer College","1050 North Mills Avenue, Claremont, California 91711-6101","https://www.pitzer.edu/","4-year, Private not-for-profit","Bachelor's degree","Suburb: Large","Yes","1212","1212","85%","NA","Fall 2016","$39,809","-","121257","00117200"
"Pomona College","550 N College Ave, Claremont, California 91711-6319","www.pomona.edu/","4-year, Private not-for-profit","Bachelor's degree","Suburb: Large","Yes","1716","1716","95%","NA","Fall 2016","$19,962","-","121345","00117300"
"Scripps College","1030 North Columbia Avenue, Claremont, California 91711-3905","www.scrippscollege.edu/","4-year, Private not-for-profit","Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate","Suburb: Large","Yes","1099","1080","84%","NA","Fall 2016","$43,923","-","123165","00117400"
"Stanbridge University","2041 Business Ctr Dr Ste 107, Irvine, California 92612","www.stanbridge.edu/","4-year, primarily associate's, Private for-profit","Associate's degree|Two but less than 4 years certificate|Bachelor's degree|Master's degree","City: Large","No","2259","2035","62%","NA","Fall 2016","$21,416","Licensed Practical/Vocational Nurse Training","446561","03889300"
"Stanford University"," , Stanford, California 94305","www.stanford.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","Yes","18283","8049","95%","NA","Fall 2016","$18,279","-","243744","00130500"
"University of California-Berkeley","200 California Hall, Berkeley, California 94720","www.berkeley.edu/","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","45307","32479","94%","NA","Fall 2016","$19,257","-","110635","00131200"
"University of California-Irvine","501 Aldrich Hall, Irvine, California 92697","www.uci.edu/","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","35937","28662","87%","7%","Fall 2016","$14,033","-","110653","00131400"
"University of California-Los Angeles","405 Hilgard Ave, Los Angeles, California 90095-1405","www.ucla.edu/","4-year, Public","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","46430","32423","92%","3%","Fall 2016","$16,999","-","110662","00131500"
"University of California-San Diego","9500 Gilman Dr, La Jolla, California 92093","www.ucsd.edu/","4-year, Public","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","42006","33096","88%","NA","Fall 2016","$16,111","-","110680","00131700"
"University of California-Santa Barbara","5221 Cheadle Hall, Santa Barbara, California 93106","www.ucsb.edu/","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Suburb: Midsize","Yes","26420","23459","86%","NA","Fall 2016","$16,874","-","110705","00132000"
"University of Southern California","University Park, Los Angeles, California 90089","www.usc.edu/","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other","City: Large","Yes","48945","20699","92%","NA","Fall 2016","$36,808","-","123961","00132800"
"","* Cohort Year represents the year for which students began their studies and applies to Graduation and Transfer Out Rates.","","","","","","","","","","","","","",""
"","** Net Price is Average Net Price for 2021-2022 generated for full-time beginning undergraduate students who were awarded grant or scholarship aid from federal, state or local governments, or the institution. For public institutions only students paying the in-state or in-district rate are included.  For institutions that charge students by program, net price is generated for the institution’s largest program.","","","","","","","","","","","","","",""
"","NA (Not applicable) - Graduation rate, transfer-out rate and the net price are not applicable to institutions that do not have full-time, first-time degree-seeking undergraduate students in the applicable cohort year or the financial aid year.","","","","","","","","","","","","","",""
