"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Case Western Reserve University","10900 Euclid Ave, Cleveland, Ohio 44106","www.case.edu/","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","12201","6017","86%","NA","Fall 2016","$38,279","-","201645","00302400"
"Denison University","100 West College Street, Granville, Ohio 43023","https://www.denison.edu/","4-year, Private not-for-profit","Bachelor's degree","Suburb: Small","Yes","2416","2416","85%","14%","Fall 2016","$38,267","-","202523","00304200"
"Hannah E Mullins School of Practical Nursing","230 North Lincoln Avenue, Suite 3, Salem, Ohio 44460-2906","hemspn.edu/","< 2-year, Public","One but less than two years certificate","Town: Fringe","No","17","17","88%","12%","2019-20","$19,776","Licensed Practical/Vocational Nurse Training","202985","01032300"
"Hillsdale College","33 E College St, Hillsdale, Michigan 49242","https://www.hillsdale.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","Town: Distant","Yes","1678","1573","87%","7%","Fall 2016","$24,196","-","170286","00227200"
"Northwestern University","633 Clark St, Evanston, Illinois 60208","www.northwestern.edu/","4-year, Private not-for-profit","One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Small","Yes","23161","8993","97%","NA","Fall 2016","$22,095","-","147767","00173900"
"The Chicago School of Professional Psychology at Chicago","325 N Wells Street, Chicago, Illinois 60654","https://www.thechicagoschool.edu/chicago/","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","No","1296","34","NA","NA","Fall 2016","NA","-","143978","02155307"
"Trine University-Regional/Non-Traditional Campuses","1 University Avenue, Angola, Indiana 46703","trine.edu/online/index.aspx","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Town: Distant","No","4344","470","0%","50%","Fall 2016","$19,616","-","414878","00183901"
"University of Chicago","5801 S Ellis Ave, Chicago, Illinois 60637","www.uchicago.edu/","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","18339","7595","96%","NA","Fall 2016","$36,991","-","144050","00177400"
"University of Michigan-Ann Arbor","503 Thompson Street, Ann Arbor, Michigan 48109","https://umich.edu/","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","51225","32695","93%","NA","Fall 2016","$19,318","-","170976","00232500"
"University of Notre Dame","400 Main Building, Notre Dame, Indiana 46556","www.nd.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","Yes","13105","8971","96%","NA","Fall 2016","$28,474","-","152080","00184000"
"","* Cohort Year represents the year for which students began their studies and applies to Graduation and Transfer Out Rates.","","","","","","","","","","","","","",""
"","** Net Price is Average Net Price for 2021-2022 generated for full-time beginning undergraduate students who were awarded grant or scholarship aid from federal, state or local governments, or the institution. For public institutions only students paying the in-state or in-district rate are included.  For institutions that charge students by program, net price is generated for the institution’s largest program.","","","","","","","","","","","","","",""
"","NA (Not applicable) - Graduation rate, transfer-out rate and the net price are not applicable to institutions that do not have full-time, first-time degree-seeking undergraduate students in the applicable cohort year or the financial aid year.","","","","","","","","","","","","","",""
