"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"American Musical and Dramatic Academy","211 West 61st Street, New York, New York 10023","www.amda.edu/","4-year, primarily associate's, Private not-for-profit","Associate's degree|Two but less than 4 years certificate|Bachelor's degree|Master's degree","City: Large","Yes","1480","1471","70%","NA","Fall 2016","$48,847","-","188854","00757200"
"Barnard College","3009 Broadway, New York, New York 10027-6598","www.barnard.edu/","4-year, Private not-for-profit","Bachelor's degree","City: Large","Yes","3442","3442","92%","NA","Fall 2016","$26,009","-","189097","00270800"
"Carnegie Mellon University","5000 Forbes Avenue, Pittsburgh, Pennsylvania 15213-3890","www.cmu.edu/","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Large","Yes","16002","7059","92%","NA","Fall 2016","$33,499","-","211440","00324200"
"Cayuga Onondaga BOCES-Practical Nursing Program","Center for Learning 12 Allen Street, Auburn, New York 13021","www.cayboces.org/","< 2-year, Public","One but less than two years certificate","Town: Distant","No","29","29","50%","NA","2019-20","$16,882","-","430883","02145800"
"Center for Allied Health Education","1401 Kings Highway, Brooklyn, New York 11229","https://www.cahe.edu/","2-year, Private for-profit","One but less than two years certificate|Two but less than 4 years certificate","City: Large","No","393","393","100%","NA","Fall 2019","$32,744","Diagnostic Medical Sonography/Sonographer and Ultrasound Technician","451413","01161700"
"Circle in the Square Theatre School","1633 Broadway, New York, New York 10019-6795","www.circlesquare.org/","2-year, Private not-for-profit","Two but less than 4 years certificate","City: Large","No","43","43","100%","NA","Fall 2019","$31,119","-","190008","02125500"
"Citizens School of Nursing","539 Pittsburg Mills Circle, Tarentum, Pennsylvania 15084","https://www.ahn.org/education/citizens-school-nursing","2-year, Private not-for-profit","Two but less than 4 years certificate","Suburb: Large","No","78","78","71%","NA","Fall 2019","$23,528","Registered Nursing/Registered Nurse","211635","00653400"
"Clinton Essex Warren Washington BOCES","1585 Military Turnpike, Plattsburgh, New York 12901-0455","www.cves.org/","< 2-year, Public","One but less than two years certificate","Town: Distant","No","39","39","70%","NA","2019-20","$11,868","Licensed Practical/Vocational Nurse Training","417868","00843700"
"Colgate University","13 Oak Drive, Hamilton, New York 13346-1398","https://www.colgate.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Town: Distant","Yes","3141","3130","91%","7%","Fall 2016","$27,074","-","190099","00270100"
"Columbia University in the City of New York","West 116 St and Broadway, New York, New York 10027","www.columbia.edu/","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","34782","8902","95%","NA","Fall 2016","$22,058","-","190150","00270700"
"Cornell University","300 Day Hall, Ithaca, New York 14853","www.cornell.edu/","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Small","Yes","25898","15735","95%","NA","Fall 2016","$26,060","-","190415","00271100"
"CUNY Graduate School and University Center","365 Fifth Ave, New York, New York 10016","www.gc.cuny.edu/","4-year, Public","Less than one year certificate|One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","8733","2793","NA","NA","Fall 2016","NA","-","190576","00476500"
"Curtis Institute of Music","1726 Locust St, Philadelphia, Pennsylvania 19103","www.curtis.edu/","4-year, Private not-for-profit","Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree","City: Large","Yes","151","103","83%","NA","Fall 2016","$20,005","-","211893","00325100"
"DeVry College of New York","180 Madison Ave., 11th Floor, New York, New York 10016","https://www.devry.edu/","4-year, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","City: Large","No","568","423","21%","14%","Fall 2016","$33,555","-","482413","01072795"
"Eastern International College-Jersey City","684 Newark Ave, Jersey City, New Jersey 07306","www.eicollege.edu/","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree","City: Large","No","387","387","42%","NA","Fall 2016","$25,810","-","421878","03122600"
"Geisinger-Lewistown Hospital School of Nursing","400 Highland Avenue, Lewistown, Pennsylvania 17044","https://www.geisinger.org/geisinger-school-of-nursing","2-year, Private not-for-profit","Two but less than 4 years certificate","Town: Distant","No","75","75","100%","NA","Fall 2019","$23,802","-","460385","04175900"
"Georgetown University","37th and O St NW, Washington, District of Columbia 20057-0001","www.georgetown.edu/","4-year, Private not-for-profit","One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","20984","7900","96%","NA","Fall 2016","$35,566","-","131496","00144500"
"Hamilton College","198 College Hill Rd, Clinton, New York 13323","https://www.hamilton.edu/","4-year, Private not-for-profit","Bachelor's degree","Suburb: Midsize","Yes","2072","2072","92%","6%","Fall 2016","$24,503","-","191515","00272800"
