"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Amherst College","Boltwood Avenue, Amherst, Massachusetts 01002-5000","www.amherst.edu/","4-year, Private not-for-profit","Bachelor's degree","Suburb: Large","Yes","1898","1898","92%","5%","Fall 2016","$21,367","-","164465","00211500"
"Babson College","231 Forest Street, Wellesley, Massachusetts 02457-0310","www.babson.edu/","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Large","Yes","3989","2761","93%","NA","Fall 2016","$28,400","-","164580","00212100"
"Bates College","2 Andrews Road, Lewiston, Maine 04240","www.bates.edu/","4-year, Private not-for-profit","Bachelor's degree","City: Small","Yes","1790","1790","93%","5%","Fall 2016","$27,491","-","160977","00203600"
"Boston College","140 Commonwealth Avenue, Chestnut Hill, Massachusetts 02467","www.bc.edu/","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Small","Yes","15287","9982","91%","6%","Fall 2016","$30,559","-","164924","00212800"
"Boston University","One Silber Way, Boston, Massachusetts 02215","www.bu.edu/","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","36714","18459","89%","NA","Fall 2016","$27,829","-","164988","00213000"
"Bowdoin College","255 Maine Street, Brunswick, Maine 04011","https://www.bowdoin.edu/","4-year, Private not-for-profit","Bachelor's degree","Town: Fringe","Yes","1915","1915","94%","4%","Fall 2016","$22,776","-","161004","00203800"
"Brown University","One Prospect Street, Providence, Rhode Island 02912","www.brown.edu/","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","11189","7639","95%","NA","Fall 2016","$26,723","-","217156","00340100"
"Colby College","4000 Mayflower Hill Drive, Waterville, Maine 04901-8840","www.colby.edu/","4-year, Private not-for-profit","Bachelor's degree","Town: Remote","Yes","2299","2299","88%","8%","Fall 2016","$16,951","-","161086","00203900"
"Dartmouth College","207 Parkhurst Hall, Hanover, New Hampshire 03755-3529","www.dartmouth.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Town: Remote","Yes","6744","4458","95%","NA","Fall 2016","$19,208","-","182670","00257300"
"Franklin W Olin College of Engineering","1000 Olin Way, Needham, Massachusetts 02492-1200","www.olin.edu/","4-year, Private not-for-profit","Bachelor's degree","Suburb: Large","Yes","386","386","94%","3%","Fall 2016","$38,502","-","441982","03946300"
"Harvard University","Massachusetts Hall, Cambridge, Massachusetts 02138","www.harvard.edu/","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","30631","9368","98%","NA","Fall 2016","$19,491","-","166027","00215500"
"Massachusetts Institute of Technology","77 Massachusetts Avenue, Cambridge, Massachusetts 02139-4307","web.mit.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Midsize","Yes","11858","4657","95%","NA","Fall 2016","$20,232","-","166683","00217800"
"Middlebury College","Old Chapel, Middlebury, Vermont 05753","https://www.middlebury.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","Town: Distant","Yes","2843","2773","94%","5%","Fall 2016","$22,181","-","230959","00369100"
"Northeastern University","360 Huntington Ave, Boston, Massachusetts 02115-5005","www.northeastern.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other","City: Large","Yes","30013","16302","91%","3%","Fall 2016","$35,827","-","167358","00219900"
"Rhode Island School of Design","2 College St, Providence, Rhode Island 02903-2784","www.risd.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Midsize","Yes","2620","2108","91%","4%","Fall 2016","$39,800","-","217493","00340900"
"Signature Healthcare Brockton Hospital School of Nursing","53 Adams Street, Brockton, Massachusetts 02302-1905","www.bhson.org/","2-year, Private not-for-profit","Two but less than 4 years certificate","Suburb: Large","No","150","150","0%","NA","Fall 2019","$24,120","Registered Nursing/Registered Nurse","165060","00632200"
"Smith College","Elm St, Northampton, Massachusetts 01063","www.smith.edu/","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","Yes","2873","2523","89%","9%","Fall 2016","$30,790","-","167835","00220900"
"Tufts University"," , Medford, Massachusetts 02155-5555","https://www.tufts.edu/","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","Yes","13431","6815","94%","5%","Fall 2016","$30,479","-","168148","00221900"
"Wellesley College","106 Central St, Wellesley, Massachusetts 02481-8203","www.wellesley.edu/","4-year, Private not-for-profit","Bachelor's degree","Suburb: Large","Yes","2447","2447","90%","NA","Fall 2016","$21,362","-","168218","00222400"
"Wesleyan University","45 Wyllys Avenue, Middletown, Connecticut 06459","www.wesleyan.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Small","Yes","3253","3069","93%","5%","Fall 2016","$21,270","-","130697","00142400"
"Williams College","880 Main St, Williamstown, Massachusetts 01267","https://www.williams.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Town: Fringe","Yes","2222","2169","95%","NA","Fall 2016","$20,965","-","168342","00222900"
"Yale University","Woodbridge Hall, New Haven, Connecticut 06520","https://www.yale.edu/","4-year, Private not-for-profit","Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other","City: Midsize","Yes","14776","6645","98%","NA","Fall 2016","$18,647","-","130794","00142600"
"","* Cohort Year represents the year for which students began their studies and applies to Graduation and Transfer Out Rates.","","","","","","","","","","","","","",""
"","** Net Price is Average Net Price for 2021-2022 generated for full-time beginning undergraduate students who were awarded grant or scholarship aid from federal, state or local governments, or the institution. For public institutions only students paying the in-state or in-district rate are included.  For institutions that charge students by program, net price is generated for the institution’s largest program.","","","","","","","","","","","","","",""
"","NA (Not applicable) - Graduation rate, transfer-out rate and the net price are not applicable to institutions that do not have full-time, first-time degree-seeking undergraduate students in the applicable cohort year or the financial aid year.","","","","","","","","","","","","","",""
