"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Alcorn State University","1000 ASU Dr Ste 359, Alcorn State, Mississippi 39096-7500","www.alcorn.edu/","4-year, Public","Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - professional practice","Rural: Remote","Yes","2933","2431","47%","NA","Fall 2016","$14,864","-","175342","00239600"
"Berea College","101 Chestnut Street, Berea, Kentucky 40404-2182","https://www.berea.edu/","4-year, Private not-for-profit","Bachelor's degree","Town: Distant","Yes","1433","1433","62%","23%","Fall 2016","$2,020","-","156295","00195500"
"City College-Altamonte Springs","177 Montgomery Road, Altamonte Springs, Florida 32714","https://www.citycollege.edu/","2-year, Private for-profit","Less than one year certificate|Associate's degree","Suburb: Large","No","152","152","43%","NA","Fall 2019","$30,919","-","417327","03079900"
"City College-Gainesville","7001 N.W. 4th Blvd., Gainesville, Florida 32607","https://www.citycollege.edu/","2-year, Private for-profit","Less than one year certificate|Associate's degree","Suburb: Midsize","No","45","45","20%","4%","Fall 2019","$16,530","-","406547","02515401"
"City College-Hollywood","6565 Taft Street, Hollywood, Florida 33024-4045","https://www.citycollege.edu/","2-year, Private for-profit","Less than one year certificate|Associate's degree","Suburb: Large","No","257","257","50%","17%","Fall 2019","$21,206","-","475477",""
"Davidson College","405 N. Main Street, Davidson, North Carolina 28035","https://davidson.edu/","4-year, Private not-for-profit","Bachelor's degree","Suburb: Large","Yes","1927","1927","92%","NA","Fall 2016","$26,704","-","198385","00291800"
"Duke University","103 Allen Bldg, Durham, North Carolina 27708","www.duke.edu/","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","18023","6640","97%","NA","Fall 2016","$23,694","-","198419","00292000"
"Emory University","201 Dowman Drive, Atlanta, Georgia 30322","www.emory.edu/","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","14841","7101","90%","NA","Fall 2016","$26,680","-","139658","00156400"
"Emory University-Oxford College","801 Emory Street, Oxford, Georgia 30054","www.oxford.emory.edu/","2-year, Private not-for-profit","Associate's degree","Suburb: Large","Yes","1048","1048","95%","NA","Fall 2019","$32,842","-","487092","00156401"
"Fairfax University of America","4401 Village Drive, Fairfax, Virginia 22030-0000","https://www.fxua.edu/","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Large","No","43","11","10%","90%","Fall 2016","NA","-","460376","04144000"
"Florida State University","222 S. Copeland Street, Tallahassee, Florida 32306-1037","https://www.fsu.edu/","4-year, Public","Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","44161","32936","85%","5%","Fall 2016","$14,003","-","134097","00148900"
"Georgia Institute of Technology-Main Campus","225 North Ave, Atlanta, Georgia 30332-0530","www.gatech.edu/","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","City: Large","Yes","45296","18415","93%","4%","Fall 2016","$17,402","-","139755","00156900"
"Johnson C Smith University","100 Beatties Ford Road, Charlotte, North Carolina 28216-5398","www.jcsu.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Large","Yes","1093","1052","43%","NA","Fall 2016","$20,045","-","198756","00293600"
"Point University","507 West 10th Street, West Point, Georgia 31833","point.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Town: Distant","Yes","2015","1943","26%","NA","Fall 2016","$19,890","-","138868","00154700"
"Spelman College","350 Spelman Lane SW, Atlanta, Georgia 30314-4399","www.spelman.edu/","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree","City: Large","Yes","3102","3102","74%","15%","Fall 2016","$37,085","-","141060","00159400"
